dataset_ID,interval,spikes
5,1288,9483
5,1289,12726
5,1290,17362
3,1291,6781
3,1292,12801
3,1293,14218
3,1294,17653
3,1295,10006
3,1296,89340
3,1297,91998
3,1298,76674
3,1299,61815
3,1300,5165
3,1301,5525
3,1302,11207
3,1303,8282
3,1304,16026
3,1305,12337
3,1306,10882
3,1307,6852
3,1308,27620
3,1309,75166
3,1310,14298
3,1311,17370
3,1312,31605
3,1313,18522
3,1314,9730
3,1315,17959
3,1316,7731
3,1317,9435
3,1318,11327
3,1319,21474
3,1320,8266
0,1321,5950
0,1322,7132
0,1323,24436
0,1324,14017
0,1325,8748
0,1326,102580
0,1327,115106
0,1328,77393
0,1329,54874
0,1330,12815
0,1331,7866
0,1332,5344
0,1333,8528
0,1334,7001
0,1335,10214
0,1336,11318
0,1337,16039
0,1338,16228
0,1339,109570
0,1340,10616
0,1341,9551
0,1342,48411
0,1343,18143
0,1344,15951
0,1345,14500
0,1346,11074
0,1347,14010
0,1348,11480
0,1349,8516
0,1350,12053
5,1351,6062
5,1352,10732
5,1353,7970
5,1354,11341
5,1355,13649
5,1356,76261
5,1357,124955
5,1358,70800
5,1359,67544
5,1360,9228
5,1361,6442
5,1362,8643
5,1363,14095
5,1364,12238
5,1365,13011
5,1366,15372
5,1367,13731
5,1368,28134
5,1369,80686
5,1370,14231
5,1371,17189
5,1372,46208
5,1373,11530
5,1374,10312
5,1375,9399
5,1376,9397
5,1377,17658
5,1378,9483
5,1379,12726
5,1380,17362
3,1381,6781
3,1382,12801
3,1383,14218
3,1384,17653
3,1385,10006
3,1386,89340
3,1387,91998
3,1388,76674
3,1389,61815
3,1390,5165
3,1391,5525
3,1392,11207
3,1393,8282
3,1394,16026
3,1395,12337
3,1396,10882
3,1397,6852
3,1398,27620
3,1399,75166
3,1400,14298
3,1401,17370
3,1402,31605
3,1403,18522
3,1404,9730
3,1405,17959
3,1406,7731
3,1407,9435
3,1408,11327
3,1409,21474
3,1410,8266
7,1411,5462
7,1412,7079
