dataset_ID,interval,attack,spikes,class,differenceSpikes_1
0,4036,Spontaneous,11318,0,1104
0,4037,Spontaneous,16039,0,4721
0,4038,Spontaneous,16228,0,189
0,4039,Spontaneous,109570,0,93342
0,4040,Spontaneous,10616,0,-98954
0,4041,Spontaneous,9551,0,-1065
0,4042,Spontaneous,48411,0,38860
0,4043,Spontaneous,18143,0,-30268
0,4044,Spontaneous,15951,0,-2192
0,4045,Spontaneous,14500,0,-1451
0,4046,Spontaneous,11074,0,-3426
0,4047,Spontaneous,14010,0,2936
0,4048,Spontaneous,11480,0,-2530
0,4049,Spontaneous,8516,0,-2964
0,4050,Spontaneous,12053,0,3537
3,4051,Spontaneous,6781,0,-5272
3,4052,Spontaneous,12801,0,6020
3,4053,Spontaneous,14218,0,1417
3,4054,Spontaneous,17653,0,3435
3,4055,Spontaneous,10006,0,-7647
3,4056,Spontaneous,89340,0,79334
3,4057,Spontaneous,91998,0,2658
3,4058,Spontaneous,76674,0,-15324
3,4059,Spontaneous,61815,0,-14859
3,4060,Spontaneous,5165,0,-56650
3,4061,Spontaneous,5525,0,360
3,4062,Spontaneous,11207,0,5682
3,4063,Spontaneous,8282,0,-2925
3,4064,Spontaneous,16026,0,7744
3,4065,Spontaneous,12337,0,-3689
3,4066,Spontaneous,10882,0,-1455
3,4067,Spontaneous,6852,0,-4030
3,4068,Spontaneous,27620,0,20768
3,4069,Spontaneous,75166,0,47546
3,4070,Spontaneous,14298,0,-60868
3,4071,Spontaneous,17370,0,3072
3,4072,Spontaneous,31605,0,14235
3,4073,Spontaneous,18522,0,-13083
3,4074,Spontaneous,9730,0,-8792
3,4075,Spontaneous,17959,0,8229
3,4076,Spontaneous,7731,0,-10228
3,4077,Spontaneous,9435,0,1704
3,4078,Spontaneous,11327,0,1892
3,4079,Spontaneous,21474,0,10147
3,4080,Spontaneous,8266,0,-13208
0,4081,FLO,5950,0,-2316
0,4082,FLO,7132,0,1182
0,4083,FLO,24436,0,17304
0,4084,FLO,14017,0,-10419
0,4085,FLO,8748,0,-5269
0,4086,FLO,102580,0,93832
0,4087,FLO,130253,1,27673
0,4088,FLO,79058,0,-51195
0,4089,FLO,55046,0,-24012
0,4090,FLO,12614,0,-42432
0,4091,FLO,7952,0,-4662
0,4092,FLO,5347,0,-2605
0,4093,FLO,8414,0,3067
0,4094,FLO,7029,0,-1385
0,4095,FLO,10252,0,3223
0,4096,FLO,11303,0,1051
0,4097,FLO,16003,0,4700
0,4098,FLO,16181,0,178
0,4099,FLO,109649,0,93468
0,4100,FLO,10577,0,-99072
0,4101,FLO,9550,0,-1027
0,4102,FLO,48445,0,38895
0,4103,FLO,18210,0,-30235
0,4104,FLO,15996,0,-2214
0,4105,FLO,14568,0,-1428
0,4106,FLO,11044,0,-3524
0,4107,FLO,14017,0,2973
0,4108,FLO,11485,0,-2532
0,4109,FLO,8510,0,-2975
0,4110,FLO,12043,0,3533
3,4111,Spontaneous,6781,0,-5262
3,4112,Spontaneous,12801,0,6020
3,4113,Spontaneous,14218,0,1417
3,4114,Spontaneous,17653,0,3435
3,4115,Spontaneous,10006,0,-7647
3,4116,Spontaneous,89340,0,79334
3,4117,Spontaneous,91998,0,2658
3,4118,Spontaneous,76674,0,-15324
3,4119,Spontaneous,61815,0,-14859
3,4120,Spontaneous,5165,0,-56650
3,4121,Spontaneous,5525,0,360
3,4122,Spontaneous,11207,0,5682
3,4123,Spontaneous,8282,0,-2925
3,4124,Spontaneous,16026,0,7744
3,4125,Spontaneous,12337,0,-3689
3,4126,Spontaneous,10882,0,-1455
3,4127,Spontaneous,6852,0,-4030
3,4128,Spontaneous,27620,0,20768
3,4129,Spontaneous,75166,0,47546
3,4130,Spontaneous,14298,0,-60868
3,4131,Spontaneous,17370,0,3072
3,4132,Spontaneous,31605,0,14235
3,4133,Spontaneous,18522,0,-13083
3,4134,Spontaneous,9730,0,-8792
3,4135,Spontaneous,17959,0,8229
3,4136,Spontaneous,7731,0,-10228
3,4137,Spontaneous,9435,0,1704
3,4138,Spontaneous,11327,0,1892
3,4139,Spontaneous,21474,0,10147
3,4140,Spontaneous,8266,0,-13208
7,4141,FLO,5462,0,-2804
7,4142,FLO,7079,0,1617
7,4143,FLO,12861,0,5782
7,4144,FLO,9218,0,-3643
7,4145,FLO,11137,0,1919
7,4146,FLO,80360,0,69223
7,4147,FLO,109553,1,29193
7,4148,FLO,78483,0,-31070
7,4149,FLO,76699,0,-1784
7,4150,FLO,7665,0,-69034
7,4151,FLO,4969,0,-2696
7,4152,FLO,8722,0,3753
7,4153,FLO,10390,0,1668
7,4154,FLO,8979,0,-1411
7,4155,FLO,7807,0,-1172
7,4156,FLO,11147,0,3340
7,4157,FLO,9966,0,-1181
7,4158,FLO,34967,0,25001
7,4159,FLO,102224,0,67257
7,4160,FLO,10815,0,-91409
7,4161,FLO,13312,0,2497
7,4162,FLO,38942,0,25630
7,4163,FLO,19998,0,-18944
7,4164,FLO,11638,0,-8360
7,4165,FLO,12469,0,831
7,4166,FLO,17079,0,4610
7,4167,FLO,9810,0,-7269
7,4168,FLO,16521,0,6711
7,4169,FLO,14473,0,-2048
7,4170,FLO,15582,0,1109
5,4171,Spontaneous,6062,0,-9520
5,4172,Spontaneous,10732,0,4670
5,4173,Spontaneous,7970,0,-2762
5,4174,Spontaneous,11341,0,3371
5,4175,Spontaneous,13649,0,2308
5,4176,Spontaneous,76261,0,62612
5,4177,Spontaneous,124955,0,48694
5,4178,Spontaneous,70800,0,-54155
5,4179,Spontaneous,67544,0,-3256
